Name,SMILES,Molar Mass,CAS Number,Experimental Solubility in Water (mg/L),Temperature (deg C),Experiment Reference,,comment,Standard InChIKey
,CCCCCSCCOCCO,192.323,122295-19-6,5769.69,25,"Article; Sokolowski, Adam; Journal of Physical Chemistry; vol. 93; 25; (1989); p. 8223 - 8226;",H2O,Solubility: 0.030 mol/kg,BRGZDRXMTRQPNB-UHFFFAOYSA-N
,CCCCCSCCOCCOCCO,236.376,122295-22-1,7800.41,25,"Article; Sokolowski, Adam; Journal of Physical Chemistry; vol. 93; 25; (1989); p. 8223 - 8226;",H2O,Solubility: 0.033 mol/kg,KTHOVJVKKUQPIE-UHFFFAOYSA-N
mono-2-O-propyl-beta-cyclodextrin,CCCO[C@@H]1[C@@H](O)[C@@H]2O[C@H]3O[C@H](CO)[C@@H](O[C@H]4O[C@H](CO)[C@@H](O[C@H]5O[C@H](CO)[C@@H](O[C@H]6O[C@H](CO)[C@@H](O[C@H]7O[C@H](CO)[C@@H](O[C@H]8O[C@H](CO)[C@@H](O[C@H]1O[C@@H]2CO)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,1177.08,,6700,24,Article; Jindrich; Pitha; Lindberg; Seffers; Harata; Carbohydrate Research; vol. 266; 1; (1995); p. 75 - 80;,H2O,Solubility: 0.67 weight-percent,XOINLBBURLRSFR-FPPUMMFJSA-N
mono-2-O-ethyl-beta-cyclodextrin,CCO[C@@H]1[C@@H](O)[C@@H]2O[C@H]3O[C@H](CO)[C@@H](O[C@H]4O[C@H](CO)[C@@H](O[C@H]5O[C@H](CO)[C@@H](O[C@H]6O[C@H](CO)[C@@H](O[C@H]7O[C@H](CO)[C@@H](O[C@H]8O[C@H](CO)[C@@H](O[C@H]1O[C@@H]2CO)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O,1163.05,,5300,24,Article; Jindrich; Pitha; Lindberg; Seffers; Harata; Carbohydrate Research; vol. 266; 1; (1995); p. 75 - 80;,H2O,Solubility: 0.53 weight-percent,FVRFOYJRVRJJJG-LRCRDJQPSA-N
(R)-N-benzyl-2-hydroxy-succinamic acid; (R)-N-Benzyl-2-hydroxy-succinamidsaeure,O[C@H](CC(=O)NCC1=CC=CC=C1)C(O)=O,223.229,141650-65-9,13600,18,Article; Lutz; Chemische Berichte; vol. 37; (1904); p. 2125; Chemisches Zentralblatt; vol. 71; II; (1900); p. 1011;,H2O,1.36 part(s) of substance.dissolves in:100 parts of solvent.,AWENCJBDNVGPNN-SECBINFHSA-N
2-(Perfluorooctyl)ethanesulfinic acid,OS(=O)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,512.187,,4000,25,"Article; Brace, Neal O.; Journal of Fluorine Chemistry; vol. 102; 1-2; (2000); p. 21 - 41;",H2O,Solubility: 0.4 weight-percent,VWAMJUIXCVJKHI-UHFFFAOYSA-N
,NS(=O)(=O)C1=CC(=C(N(CCO)CCO)C(=C1)N(=O)=O)N(=O)=O,350.309,,2500,24,"Article; Benbow, John W.; Bernberg, Erin L.; Korda, Anna; Mead, Jan R.; Antimicrobial Agents and Chemotherapy; vol. 42; 2; (1998); p. 339 - 343;",H2O,Solubility: 0.25 weight-percent,MRSNIJUIXJNQKD-UHFFFAOYSA-N
,CCC(CC)NC1=C(C=C(C=C1N(=O)=O)S(N)(=O)=O)N(=O)=O,332.337,,18,24,"Article; Benbow, John W.; Bernberg, Erin L.; Korda, Anna; Mead, Jan R.; Antimicrobial Agents and Chemotherapy; vol. 42; 2; (1998); p. 339 - 343;",H2O,Solubility: 0.0018 weight-percent,ICBMPAHYJUDUDE-UHFFFAOYSA-N
,NS(=O)(=O)C1=CC(=C(NC2=CC=CC=C2)C(=C1)N(=O)=O)N(=O)=O,338.301,,4,24,"Article; Benbow, John W.; Bernberg, Erin L.; Korda, Anna; Mead, Jan R.; Antimicrobial Agents and Chemotherapy; vol. 42; 2; (1998); p. 339 - 343;",H2O,Solubility: 0.0004 weight-percent,KKXDWPLXJAIDRM-UHFFFAOYSA-N
,OC(=O)COC1=CC=C(C=C1)\C=C\C1=CC(O)=CC(O)=C1,286.284,1043627-73-1,809.1,21.84,"Article; Jiang, Yu Lin; Bioorganic and Medicinal Chemistry; vol. 16; 12; (2008); p. 6406 - 6414;",H2O,Solubility: 0.08091 p(g/100g solution),INVXNRJFCIBXGV-OWOJBTEDSA-N
,CCOC(=O)COC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1,314.338,1043627-68-4,1903,21.84,"Article; Jiang, Yu Lin; Bioorganic and Medicinal Chemistry; vol. 16; 12; (2008); p. 6406 - 6414;",H2O,Solubility: 0.00193 p(g/100g solution),WJQIKFVQRWHHKV-ONEGZZNKSA-N
,OC(=O)CCCCCOC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1,342.392,1043627-76-4,45.2,21.84,"Article; Jiang, Yu Lin; Bioorganic and Medicinal Chemistry; vol. 16; 12; (2008); p. 6406 - 6414;",H2O,Solubility: 0.00452 p(g/100g solution),SPYSFHZNMKLDCK-AATRIKPKSA-N
,COC(=O)CCCCCOC1=CC=C(\C=C\C2=CC(O)=CC(O)=C2)C=C1,356.419,1043627-71-9,0.32,21.84,"Article; Jiang, Yu Lin; Bioorganic and Medicinal Chemistry; vol. 16; 12; (2008); p. 6406 - 6414;",H2O,Solubility: 0.000032 p(g/100g solution),RIUVVQHRQBXJAX-VOTSOKGWSA-N
,CC(C)(CO)C(=O)NC1=CC=C2C=CN(CC3=CC=CC(=N3)C3=C4OCOC4=CC=C3)C2=C1,443.502,1246241-79-1,3.2,21,"Article; Letourneau, Jeffrey J.; Jokiel, Patrick; Olson, John; Riviello, Christopher M.; Ho, Koc-Kan; McAleer, Lihong; Yang, Jingchun; Swanson, Robert N.; Baker, James; Cowley, Phillip; Edwards, Darren; Ward, Nick; Ohlmeyer, Michael H.J.; Webb, Maria L.; Bioorganic and Medicinal Chemistry Letters; vol. 20; 18; (2010); p. 5449 - 5453;",water,Solubility: 3.2 mug/ml,IJGUVPKVGNLXIQ-UHFFFAOYSA-N
,CC(C)(O)CC(=O)NC1=CC=C2C=CN(CC3=CC=CC(=N3)C3=C4OCOC4=CC=C3)C2=C1,443.502,1246241-81-5,1,21,"Article; Letourneau, Jeffrey J.; Jokiel, Patrick; Olson, John; Riviello, Christopher M.; Ho, Koc-Kan; McAleer, Lihong; Yang, Jingchun; Swanson, Robert N.; Baker, James; Cowley, Phillip; Edwards, Darren; Ward, Nick; Ohlmeyer, Michael H.J.; Webb, Maria L.; Bioorganic and Medicinal Chemistry Letters; vol. 20; 18; (2010); p. 5449 - 5453;",water,Solubility: <1 mug/ml,QARUVMOUXQJRHQ-UHFFFAOYSA-N
,COC1=C(C=CC(F)=C1)C1=NC(CN2C=CC3=CC=C(NC(=O)C(C)(C)CO)C=C23)=CC=C1,447.509,1246241-80-4,11.7,21,"Article; Letourneau, Jeffrey J.; Jokiel, Patrick; Olson, John; Riviello, Christopher M.; Ho, Koc-Kan; McAleer, Lihong; Yang, Jingchun; Swanson, Robert N.; Baker, James; Cowley, Phillip; Edwards, Darren; Ward, Nick; Ohlmeyer, Michael H.J.; Webb, Maria L.; Bioorganic and Medicinal Chemistry Letters; vol. 20; 18; (2010); p. 5449 - 5453;",water,Solubility: 11.7 mug/ml,KVEBRGSWEKDCPX-UHFFFAOYSA-N
,COC1=C(C=CC(F)=C1)C1=NC(CN2C=CC3=CC=C(NC(=O)CC(C)(C)O)C=C23)=CC=C1,447.509,1246241-82-6,17.9,21,"Article; Letourneau, Jeffrey J.; Jokiel, Patrick; Olson, John; Riviello, Christopher M.; Ho, Koc-Kan; McAleer, Lihong; Yang, Jingchun; Swanson, Robert N.; Baker, James; Cowley, Phillip; Edwards, Darren; Ward, Nick; Ohlmeyer, Michael H.J.; Webb, Maria L.; Bioorganic and Medicinal Chemistry Letters; vol. 20; 18; (2010); p. 5449 - 5453;",water,Solubility: 17.9 mug/ml,KJVMIKLNUFIUIG-UHFFFAOYSA-N
,CN1C=C(CC2=CC=CC(=N2)C2=C3OCOC3=CC=C2)C2=CC(NC(=O)C(C)(C)CO)=CC=C12,457.529,1246241-83-7,1,21,"Article; Letourneau, Jeffrey J.; Jokiel, Patrick; Olson, John; Riviello, Christopher M.; Ho, Koc-Kan; McAleer, Lihong; Yang, Jingchun; Swanson, Robert N.; Baker, James; Cowley, Phillip; Edwards, Darren; Ward, Nick; Ohlmeyer, Michael H.J.; Webb, Maria L.; Bioorganic and Medicinal Chemistry Letters; vol. 20; 18; (2010); p. 5449 - 5453;",water,Solubility: <1 mug/ml,ICCWLTVCIXVGMW-UHFFFAOYSA-N
,CN1C=C(CC2=CC=CC(=N2)C2=C3OCOC3=CC=C2)C2=CC(NC(=O)CC(C)(C)O)=CC=C12,457.529,1246241-85-9,14.9,21,"Article; Letourneau, Jeffrey J.; Jokiel, Patrick; Olson, John; Riviello, Christopher M.; Ho, Koc-Kan; McAleer, Lihong; Yang, Jingchun; Swanson, Robert N.; Baker, James; Cowley, Phillip; Edwards, Darren; Ward, Nick; Ohlmeyer, Michael H.J.; Webb, Maria L.; Bioorganic and Medicinal Chemistry Letters; vol. 20; 18; (2010); p. 5449 - 5453;",water,Solubility: 14.9 mug/ml,VKKPZNVBRKYDRR-UHFFFAOYSA-N
,COC1=C(C=CC(F)=C1)C1=NC(CC2=CN(C)C3=CC=C(NC(=O)C(C)(C)CO)C=C23)=CC=C1,461.536,1246241-84-8,2,21,"Article; Letourneau, Jeffrey J.; Jokiel, Patrick; Olson, John; Riviello, Christopher M.; Ho, Koc-Kan; McAleer, Lihong; Yang, Jingchun; Swanson, Robert N.; Baker, James; Cowley, Phillip; Edwards, Darren; Ward, Nick; Ohlmeyer, Michael H.J.; Webb, Maria L.; Bioorganic and Medicinal Chemistry Letters; vol. 20; 18; (2010); p. 5449 - 5453;",water,Solubility: 2.0 mug/ml,IADFNAUQPCDFOU-UHFFFAOYSA-N
,COC1=C(C=CC(F)=C1)C1=NC(CC2=CN(C)C3=CC=C(NC(=O)CC(C)(C)O)C=C23)=CC=C1,461.536,1246241-86-0,10.6,21,"Article; Letourneau, Jeffrey J.; Jokiel, Patrick; Olson, John; Riviello, Christopher M.; Ho, Koc-Kan; McAleer, Lihong; Yang, Jingchun; Swanson, Robert N.; Baker, James; Cowley, Phillip; Edwards, Darren; Ward, Nick; Ohlmeyer, Michael H.J.; Webb, Maria L.; Bioorganic and Medicinal Chemistry Letters; vol. 20; 18; (2010); p. 5449 - 5453;",water,Solubility: 10.6 mug/ml,NJXUPXIMEHIIRV-UHFFFAOYSA-N
,[H][C@@]12O[C@H](CSCO)[C@@]([H])(O[C@@]3([H])O[C@H](CSCCO)[C@@]([H])(O[C@@]4([H])O[C@H](CSCCO)[C@@]([H])(O[C@@]5([H])O[C@H](CSCCO)[C@@]([H])(O[C@@]6([H])O[C@H](CSCCO)[C@@]([H])(O[C@@]7([H])O[C@H](CSCCO)[C@@]([H])(O[C@@]8([H])O[C@H](CSCCO)[C@@]([H])(O[C@@]9([H])O[C@H](CSCCO)[C@@]([H])(O1)[C@H](O)[C@H]9O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O,1764.07,,3000,25,"Article; Wang, Hai Ming; Wenz, Gerhard; Chemistry - An Asian Journal; vol. 6; 9; (2011); p. 2390 - 2399;",water,Solubility: 0.3 g/100g solvent,VLIXSCXKVRENSL-HGAKHNENSA-N
,[H][C@@]12O[C@H](CSCCN)[C@@]([H])(O[C@@]3([H])O[C@H](CSCCN)[C@@]([H])(O[C@@]4([H])O[C@H](CSCCN)[C@@]([H])(O[C@@]5([H])O[C@H](CSCCCN)[C@@]([H])(O[C@@]6([H])O[C@H](CSCCCN)[C@@]([H])(O[C@@]7([H])O[C@H](CSCCN)[C@@]([H])(O[C@@]8([H])O[C@H](CSCCN)[C@@]([H])(O[C@@]9([H])O[C@H](CSCCN)[C@@]([H])(O1)[C@H](O)[C@H]9O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O,1798.27,,210000,25,"Article; Wang, Hai Ming; Wenz, Gerhard; Chemistry - An Asian Journal; vol. 6; 9; (2011); p. 2390 - 2399;",water,Solubility: 21 g/100g solvent,PEROPTVKSHUPNW-WTPNWPJYSA-N
,[H][C@@]12O[C@H](CSCCOCCOC)[C@@]([H])(O[C@@]3([H])O[C@H](CSCCOCCOCC)[C@@]([H])(O[C@@]4([H])O[C@H](CSCCOCCOCCOC)[C@@]([H])(O[C@@]5([H])O[C@H](CSCOCCOCCOC)[C@@]([H])(O[C@@]6([H])O[C@H](CSCCOCCOCCOC)[C@@]([H])(O[C@@]7([H])O[C@H](CSCCOCCOCCOC)[C@@]([H])(O[C@@]8([H])O[C@H](CSCCOCCOCCOC)[C@@]([H])(O[C@@]9([H])O[C@H](CSCCOCCOCCOC)[C@@]([H])(O1)[C@H](O)[C@H]9O)[C@H](O)[C@H]8O)[C@H](O)[C@H]7O)[C@H](O)[C@H]6O)[C@H](O)[C@H]5O)[C@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@H](O)[C@H]2O,2507.06,,480000,25,"Article; Wang, Hai Ming; Wenz, Gerhard; Chemistry - An Asian Journal; vol. 6; 9; (2011); p. 2390 - 2399;",water,Solubility: 48 g/100g solvent,CJTSPSBORLSBNE-FGGFUJSMSA-N
"indoline-2,3-dione; isatin",OC1=C2C=CC=CC2=NC1=O,147.133,,0.08,24.99,"Article; Shakeel, Faiyaz; Haq, Nazrul; Salem-Bekhit, Mounir M.; Journal of Molecular Liquids; vol. 207; (2015); p. 274 - 278;",water,Solubility: 5.13E-05 molpercent,JXDYKVIHCLTXOP-UHFFFAOYSA-N
pyridine-3-aldehyde pyridin-2'-ylhydrazone,N(N=CC1=CC=CN=C1)C1=NC=CC=C1,198.227,63697-67-6,138.76,24.84,"Article; Perlovich, German L.; Kazachenko, Vladimir P.; Strakhova, Nadezda N.; Schaper, Klaus-J.; Raevsky, Oleg A.; Journal of Chemical and Engineering Data; vol. 58; 9; (2013); p. 2659 - 2667;",water,Solubility: 0.0007 mol/1000g,ZMTRKIYGCKYPTF-UHFFFAOYSA-N
2-acetylpyridine O-(6'-chloropyrimidin-4'-yl)oxime,CC(=NOC1=CC(Cl)=NC=N1)C1=NC=CC=C1,248.672,907967-95-7,155.42,24.84,"Article; Perlovich, German L.; Kazachenko, Vladimir P.; Strakhova, Nadezda N.; Schaper, Klaus-J.; Raevsky, Oleg A.; Journal of Chemical and Engineering Data; vol. 58; 9; (2013); p. 2659 - 2667;",water,Solubility: 0.000625 mol/1000g,CYIDKMRQCBBIDR-UHFFFAOYSA-N
[1-(2-pyridinyl)ethylidene]hydrazone-(2(1H)-quinolinone),CC(=NN=C1NC2=C(C=CC=C2)C=C1)C1=NC=CC=C1,262.314,70845-34-0,7.97,24.84,"Article; Perlovich, German L.; Kazachenko, Vladimir P.; Strakhova, Nadezda N.; Schaper, Klaus-J.; Raevsky, Oleg A.; Journal of Chemical and Engineering Data; vol. 58; 9; (2013); p. 2659 - 2667;",water,Solubility: 3.04E-05 mol/1000g,ZHXBMYNQHKXYCJ-UHFFFAOYSA-N
[1-(2-pyridinyl)ethylidene]hydrazone-(4(1H)-quinazolinone),CC(=NN=C1N=CNC2=CC=CC=C12)C1=NC=CC=C1,263.302,120356-41-4,61.61,24.84,"Article; Perlovich, German L.; Kazachenko, Vladimir P.; Strakhova, Nadezda N.; Schaper, Klaus-J.; Raevsky, Oleg A.; Journal of Chemical and Engineering Data; vol. 58; 9; (2013); p. 2659 - 2667;",water,Solubility: 0.000234 mol/1000g,GRDMGYDEJSDGIQ-UHFFFAOYSA-N
5-benzyloxypyridine-2-aldehyde 2'-pyridinylhydrazone,C(OC1=CN=C(C=NNC2=CC=CC=N2)C=C1)C1=CC=CC=C1,304.351,1290504-01-6,3.56,24.84,"Article; Perlovich, German L.; Kazachenko, Vladimir P.; Strakhova, Nadezda N.; Schaper, Klaus-J.; Raevsky, Oleg A.; Journal of Chemical and Engineering Data; vol. 58; 9; (2013); p. 2659 - 2667;",water,Solubility: 1.17E-05 mol/1000g,JJTLQCNYVISQEN-UHFFFAOYSA-N
(phenyl-2-pyridinylmethylene)hydrazone-(2(1H)-quinolinone),N1C(C=CC2=C1C=CC=C2)=NN=C(C1=CC=CC=C1)C1=NC=CC=C1,324.385,35896-24-3,18.88,24.84,"Article; Perlovich, German L.; Kazachenko, Vladimir P.; Strakhova, Nadezda N.; Schaper, Klaus-J.; Raevsky, Oleg A.; Journal of Chemical and Engineering Data; vol. 58; 9; (2013); p. 2659 - 2667;",water,Solubility: 5.82E-05 mol/1000g,OMPFOEQSNRLYEL-UHFFFAOYSA-N
tenoxicam; TNX,CN1S(=O)(=O)C2C=CSC2C(=O)\C1=C(\O)NC1=NC=CC=C1,339.396,,0.04,24.99,"Article; Shakeel, Faiyaz; Haq, Nazrul; Alanazi, Fars K.; Alsarra, Ibrahim A.; Journal of Molecular Liquids; vol. 213; (2016); p. 221 - 227;",water,Solubility: 4.13E-06 g/100g solvent,FECZQJMPBNISTE-RAXLEYEMSA-N
5-(phenylmethoxy)-2-pyridinecarboxaldehyde 1-phthalazinylhydrazone,C(OC1=CC=C(C=NNC2=C3C=CC=CC3=CN=N2)N=C1)C1=CC=CC=C1,355.399,120356-23-2,3.91,24.84,"Article; Perlovich, German L.; Kazachenko, Vladimir P.; Strakhova, Nadezda N.; Schaper, Klaus-J.; Raevsky, Oleg A.; Journal of Chemical and Engineering Data; vol. 58; 9; (2013); p. 2659 - 2667;",water,Solubility: 1.1E-05 mol/1000g,SQZBJSNYWIOOAD-UHFFFAOYSA-N
2-hydroxycyclopentyl acrylate,OC1CCCC1OC(=O)C=C,156.181,,85000,20,"Patent; MitsubishiRayonCo., Ltd.; Kamon, Ryo; Murata, Naoshi; Watanabe, Ken; Serizawa, Masafumi; (44 pag.)JP2015/117238; (2015); A;",water,Solubility: 8.5 weight percent,QEMKMGVYNKJIOF-UHFFFAOYSA-N
,CC(N(CC#N)CC#N)C(O)=O,167.167,,407000,20,"Patent; AKZO NOBEL CHEMICALS INTERNATIONAL B.V.; BOUWMAN, Albertus Jacobus Maria; JONGEN, Hubertus Johannes; DOPPEN, Roy Gerard; HEUS, Martin; SCHOMAKER, Elwin; (29 pag.)WO2016/102494; (2016); A1;",water,Solubility: 40.7 weight percent,AVDSNUDKECFGRQ-UHFFFAOYSA-N
2-hydroxycyclopentyl methacrylate,CC(=C)C(=O)OC1CCCC1O,170.208,,77000,20,"Patent; MitsubishiRayonCo., Ltd.; Kamon, Ryo; Murata, Naoshi; Watanabe, Ken; Serizawa, Masafumi; (44 pag.)JP2015/117238; (2015); A;",water,Solubility: 7.7 weight percent,PEDGJUMANYVQBU-UHFFFAOYSA-N
3-sulfolanyl propionate,CCC(=O)OC1CCS(=O)(=O)C1,192.236,,37000,25,"Patent; Sumitomo Seika Chemicals Co., Ltd.; Fukuda, Noriaki; DaisenToshiharu, Toshiharu; Goto, Kentaro; Hachiken, Satoshi; (10 pag.)JP5674390; (2015); B2;",water,Solubility: 3.7 g/100g solvent,AKDMEMZLNOHXLE-UHFFFAOYSA-N
3-sulfolanyl isobutyrate,CC(C)C(=O)OC1CCS(=O)(=O)C1,206.263,,44000,25,"Patent; Sumitomo Seika Chemicals Co., Ltd.; Fukuda, Noriaki; DaisenToshiharu, Toshiharu; Goto, Kentaro; Hachiken, Satoshi; (10 pag.)JP5674390; (2015); B2;",water,Solubility: 4.4 g/100g solvent,MTUJEIIRSLDZOD-UHFFFAOYSA-N
2-[(2'-hydroxy)cyclopentyloxy]cyclopentyl acrylate,OC1CCCC1OC1CCCC1OC(=O)C=C,240.299,,32000,20,"Patent; MitsubishiRayonCo., Ltd.; Kamon, Ryo; Murata, Naoshi; Watanabe, Ken; Serizawa, Masafumi; (44 pag.)JP2015/117238; (2015); A;",water,Solubility: 3.2 weight percent,PSMGZMYNRNYMPG-UHFFFAOYSA-N
2-[(2'-hydroxy)cyclopentyloxy]cyclopentyl methacrylate,CC(=C)C(=O)OC1CCCC1OC1CCCC1O,254.326,,24000,20,"Patent; MitsubishiRayonCo., Ltd.; Kamon, Ryo; Murata, Naoshi; Watanabe, Ken; Serizawa, Masafumi; (44 pag.)JP2015/117238; (2015); A;",water,Solubility: 2.4 weight percent,KBVHOFBGRXBPNB-UHFFFAOYSA-N
2-[(2'-hydroxy)cyclohexyloxy]cyclohexyl acrylate,OC1CCCCC1OC1CCCCC1OC(=O)C=C,268.353,,27000,20,"Patent; MitsubishiRayonCo., Ltd.; Kamon, Ryo; Murata, Naoshi; Watanabe, Ken; Serizawa, Masafumi; (44 pag.)JP2015/117238; (2015); A;",water,Solubility: 2.7 weight percent,WVFHZXHAFAWOIB-UHFFFAOYSA-N
N-(L-valyl)-beta-D-glucopyranosylamine; Val-Glc,CC(C)[C@H](N)C(=O)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,278.305,,335000,25,"Patent; AJINOMOTO CO., INC.; KUROSAWA, Wataru; UBAGAI, Risa; KATO, Hiroyuki; SUZUKI, Hiromi; (26 pag.)US2017/7709; (2017); A1;",water,Solubility: 33.5 g/100g solvent,YIQUWJZWZUWHDY-JFENDCDASA-N
2-[(2'-hydroxy)cyclohexyloxy]cyclohexyl methacrylate,CC(=C)C(=O)OC1CCCCC1OC1CCCCC1O,282.38,,21000,20,"Patent; MitsubishiRayonCo., Ltd.; Kamon, Ryo; Murata, Naoshi; Watanabe, Ken; Serizawa, Masafumi; (44 pag.)JP2015/117238; (2015); A;",water,Solubility: 2.1 weight percent,LAYVWGPJRMGZSV-UHFFFAOYSA-N
N-(L-leucyl)-beta-D-glucopyranosylamine; Leu-Glc,CC(C)C[C@H](N)C(=O)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,292.332,,63000,25,"Patent; AJINOMOTO CO., INC.; KUROSAWA, Wataru; UBAGAI, Risa; KATO, Hiroyuki; SUZUKI, Hiromi; (26 pag.)US2017/7709; (2017); A1;",water,Solubility: 63 g/100g solvent,OOQMBUICNVORTH-VCXOXUAUSA-N
N-(L-isoleucyl)-beta-D-glucopyranosylamine; Ile-Glc,CC[C@H](C)[C@H](N)C(=O)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,292.332,,168000,25,"Patent; AJINOMOTO CO., INC.; KUROSAWA, Wataru; UBAGAI, Risa; KATO, Hiroyuki; SUZUKI, Hiromi; (26 pag.)US2017/7709; (2017); A1;",water,Solubility: 32.8 g/100g solvent,FVSPOJLDSXXBNG-BFRHEXBSSA-N
N-(L-tyrosyl)-beta-D-glucopyranosylamine; Tyr-Glc,N[C@@H](CC1=CC=C(O)C=C1)C(=O)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,342.349,,3920000,25,"Patent; AJINOMOTO CO., INC.; KUROSAWA, Wataru; UBAGAI, Risa; KATO, Hiroyuki; SUZUKI, Hiromi; (26 pag.)US2017/7709; (2017); A1;",water,Solubility: 16.8 g/100g solvent,CCODESGDXKDLIJ-MYMCGMNMSA-N
"N-(3,4-dihydroxy-L-phenylalanyl)-beta-D-glucopyranosylamine; DOPA-Glc",N[C@@H](CC1=CC(O)=C(O)C=C1)C(=O)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,358.348,,10,25,"Patent; AJINOMOTO CO., INC.; KUROSAWA, Wataru; UBAGAI, Risa; KATO, Hiroyuki; SUZUKI, Hiromi; (26 pag.)US2017/7709; (2017); A1;",water,Solubility: > 392 g/100g solvent,JXXYPUCIUMTSKK-OLCQZNMOSA-N
"3,9-di-alpha-methylbenzyl-2,4,8,10-tetraoxa-3,9-diphosphaspiro[5.5]undecane-3,9-dioxide",CC(C1=CC=CC=C1)P1(=O)OCC2(CO1)COP(=O)(OC2)C(C)C1=CC=CC=C1,436.381,,10,20,"Patent; TEIJIN LIMITED; YAMANAKA, KATSUHIRO; TAKEDA, TSUYOSHI; IMAZATO, KENTA; (23 pag.)JP2016/216382; (2016); A;",water,Solubility: 0.001 g/100g,DQDPMPURZIOBCF-UHFFFAOYSA-N
"3,9-diphenylethyl-2,4,8,10-tetraoxa-3,9-diphosphaspiro[5.5]undecane-3,9-dioxide",O=P1(CCC2=CC=CC=C2)OCC2(CO1)COP(=O)(CCC1=CC=CC=C1)OC2,436.381,,14000,20,"Patent; TEIJIN LIMITED; YAMANAKA, KATSUHIRO; TAKEDA, TSUYOSHI; IMAZATO, KENTA; (23 pag.)JP2016/216382; (2016); A;",water,Solubility: 0.001 g/100g,FPQRDXPBQRCUMO-UHFFFAOYSA-N
,CCCC(CCC)C(=O)OC(CCCN1CCC(O)(CC1)C1=CC=C(Cl)C=C1)C1=CC=C(F)C=C1,504.085,,10,25,"Article; Olivieri, Melania; Amata, Emanuele; Vinciguerra, Shila; Fiorito, Jole; Giurdanella, Giovanni; Drago, Filippo; Caporarello, Nunzia; Prezzavento, Orazio; Arena, Emanuela; Salerno, Loredana; Rescifina, Antonio; Lupo, Gabriella; Anfuso, Carmelina Daniela; Marrazzo, Agostino; Journal of Medicinal Chemistry; vol. 59; 21; (2016); p. 9960 - 9966;",water,Solubility: 1.4 g/100g solvent,ZMMTZQWVQFDIBG-UHFFFAOYSA-N
"3,9-bis(diphenylmethyl)-2,4,8,10-tetraoxa-3,9-diphosphaspiro[5.5]undecane-3,9-dioxide",O=P1(OCC2(CO1)COP(=O)(OC2)C(C1=CC=CC=C1)C1=CC=CC=C1)C(C1=CC=CC=C1)C1=CC=CC=C1,560.523,,200000,20,"Patent; TEIJIN LIMITED; YAMANAKA, KATSUHIRO; TAKEDA, TSUYOSHI; IMAZATO, KENTA; (23 pag.)JP2016/216382; (2016); A;",water,Solubility: 0.001 g/100g,MAPVOTNHEVPSHO-UHFFFAOYSA-N
,[H][C@]12C[C@]([H])([C@@H](COCCCCCCCCC)[C@H]1COCCCCCCCCC)[C@@H](O[C@@H]1O[C@H](CO)[C@@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@H]1O)[C@H]2O[C@@H]1O[C@H](CO)[C@@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,1089.28,,200000,25,"Article; Das, Manabendra; Du, Yang; Ribeiro, Orquidea; Hariharan, Parameswaran; Mortensen, Jonas S.; Patra, Dhabaleswar; Skiniotis, Georgios; Loland, Claus J.; Guan, Lan; Kobilka, Brian K.; Byrne, Bernadette; Chae, Pil Seok; Journal of the American Chemical Society; vol. 139; 8; (2017); p. 3072 - 3081;",water,Solubility: Ca. 20 weight percent,ANZGDVODRAIRRV-FZLASXDXSA-N
